name,description,source
RUNAS,Execute a program under a different user account,cmd
RUNDLL32,Run a DLL command (add/remove print connections),cmd
SC,Service Control,cmd
SCHTASKS,Schedule a command to run at a specific time,cmd
ScriptRunner,Run one or more scripts in sequence,cmd
SET,"Display, set, or remove session environment variables •",cmd
SETLOCAL,Control the visibility of environment variables •,cmd
SetObjectSecurity,"Set  security  for  an object (file, directory, reg key etc).",cmd
SetSPN,Edit Service Principal Names,cmd
SETX,Set environment variables,cmd
SFC,System File Checker,cmd
SHARE,List or edit a file share or print share,cmd
ShellRunAs,Run a command under a different user account,cmd
SHIFT,Shift the position of batch file parameters •,cmd
SHORTCUT,Create a windows shortcut (.LNK file),cmd
SHUTDOWN,Shutdown the computer,cmd
SIGCHECK,Display file version no. VirusTotal status & timestamp,cmd
SLEEP,Wait for x seconds,cmd
SLMGR,Software Licensing Management,cmd
SORT,Sort input,cmd
SSH,OpenSSH remote login client,cmd
START,"Start a program, command or batch file •",cmd
STRINGS,Search for ANSI and UNICODE strings in binary files,cmd
SUBINACL,"Edit file and folder Permissions, Ownership and Domain",cmd
SUBST,Associate a path with a drive letter,cmd
SXSTRACE,Diagnose side-by-side problems,cmd
SYSMON,Monitor and log system activity to the Windows event log,cmd
SYSTEMINFO,List system configuration,cmd
TAKEOWN,Take ownership of a file,cmd
TAR,"Store, list or extract files in an archive",cmd
TASKLIST,List running applications and services,cmd
TASKKILL,End a running process,cmd
TELNET,Communicate with another host using the TELNET protocol,cmd
TIME,Display or set the system time •,cmd
TIMEOUT,Delay processing of a batch file/command,cmd
TITLE,Set the window title for a CMD.EXE session •,cmd
TLIST,Task list with full path,cmd
TOUCH,Change file timestamps,cmd
TRACERT,Trace route to a remote host,cmd
TREE,Graphical display of folder structure,cmd
TSDISCON,Disconnect a Remote Desktop Session,cmd
TSKILL,End a running process,cmd
TYPE,Display the contents of a text file •,cmd
TypePerf,Write Performance Monitor data to a log file,cmd
TZUTIL,Time Zone Utility,cmd
VBC,Visual Basic compiler,cmd
VER,Display version information •,cmd
VERIFY,Verify that files have been saved •,cmd
VMConnect,Connect to a Hyper-V Virtual Machine,cmd
VOL,Display a disk label •,cmd
VSSADMIN,Display volume shadow copy backups + writers/providers,cmd
W32TM,Time Service,cmd
WAITFOR,Wait for or send a signal,cmd
WBADMIN,Windows Backup Admin,cmd
WECUTIL,Windows Event Collector Utility,cmd
WEVTUTIL,"Clear event logs, enable/disable/query logs",cmd
WHERE,Locate and display files in a directory tree,cmd
WHOAMI,Output the current UserName and domain,cmd
WHOIS,Lookup the registration record for a domain,cmd
WINDIFF,Compare the contents of two files or sets of files,cmd
WINGET,Windows Package Manager (coming May 2021),cmd
WINMGMT,Manage the  WMI service/WMI repository,cmd
WINRM,Windows Remote Management,cmd
WINRS,Windows Remote Shell,cmd
WMIC,WMI Commands,cmd
WPEUTIL,Run Preinstallation Environment (WinPE) commands,cmd
WPR,Windows Performance Recorder,cmd
WT,Windows Terminal,cmd
WUSA,Windows Update Standalone Installer,cmd
WUAUCLT,Windows Update,cmd
XCACLS,Change file and folder permissions,cmd
XCOPY,Copy files and folders,cmd
::,Comment / Remark •,cmd
&,Start a new process in the background,linux
alias,Create an alias •,linux
apropos,Search Help manual pages (man -k),linux
apt,Search for and install software packages (Debian/Ubuntu),linux
apt-get,Search for and install software packages (Debian/Ubuntu),linux
aptitude,Search for and install software packages (Debian/Ubuntu),linux
aspell,Spell Checker,linux
at,Schedule a command to run once at a particular time,linux
awk,"Find and Replace text, database sort/validate/index",linux
basename,Strip directory and suffix from filenames,linux
base32,Base32 encode/decode data and print to standard output,linux
base64,Base64 encode/decode data and print to standard output,linux
bash,GNU Bourne-Again SHell,linux
bc,Arbitrary precision calculator language,linux
bg,Send to background,linux
bind,Set or display readline key and function bindings •,linux
break,Exit from a loop •,linux
builtin,Run a shell builtin,linux
bzip2,Compress or decompress named file(s),linux
cal,Display a calendar,linux
caller,Return the context of any active subroutine call •,linux
case,Conditionally perform a command,linux
cat,Concatenate and print (display) the content of files,linux
cd,Change Directory,linux
cfdisk,Partition table manipulator for Linux,linux
chattr,Change file attributes on a Linux file system,linux
chgrp,Change group ownership,linux
chmod,Change access permissions,linux
chown,Change file owner and group,linux
chpasswd,Update passwords in batch mode,linux
chroot,Run a command with a different root directory,linux
chkconfig,System services (runlevel),linux
cksum,Print CRC checksum and byte counts,linux
cmp,Compare two files,linux
comm,Compare two sorted files line by line,linux
command,Run a command - ignoring shell functions •,linux
continue,Resume the next iteration of a loop •,linux
cp,Copy one or more files to another location,linux
cpio,Copy files to and from archives,linux
cron,Daemon to execute scheduled commands,linux
crontab,Schedule a command to run at a later time,linux
csplit,Split a file into context-determined pieces,linux
curl,Transfer data  from or to a server,linux
cut,Divide a file into several parts,linux
date,Display or change the date & time,linux
dc,Desk Calculator,linux
dd,"Data Duplicator - convert and copy a file, write disk headers, boot records",linux
ddrescue,Data recovery tool,linux
declare,Declare variables and give them attributes •,linux
df,Display free disk space,linux
diff,Display the differences between two files,linux
diff3,Show differences among three files,linux
dig,DNS lookup,linux
dir,Briefly list directory contents,linux
dircolors,Colour setup for 'ls',linux
dirname,Convert a full pathname to just a path,linux
dirs,Display list of remembered directories,linux
dos2unix,Windows/MAC to UNIX text file format converter,linux
dmesg,Print kernel & driver messages,linux
dpkg,Package manager  (Debian/Ubuntu).,linux
du,Estimate file space usage,linux
echo,Display message on screen •,linux
egrep,Search file(s) for lines that match an extended expression,linux
eject,Eject removable media,linux
enable,Enable and disable builtin shell commands •,linux
env,Environment variables,linux
eval,Evaluate several commands/arguments,linux
exec,Execute a command,linux
exit,Exit the shell,linux
expand,Convert tabs to spaces,linux
export,Set an environment variable,linux
expr,Evaluate expressions,linux
false,"Do nothing, unsuccessfully",linux
fdformat,Low-level format a floppy disk,linux
fdisk,Partition table manipulator for Linux,linux
fg,Send job to foreground,linux
fgrep,Search file(s) for lines that match a fixed string,linux
file,Determine file type,linux
find,Search for files that meet a desired criteria,linux
fmt,Reformat paragraph text,linux
fold,Wrap text to fit a specified width,linux
for,"Expand words, and execute commands",linux
fsck,File system consistency check and repair,linux
ftp,File Transfer Protocol,linux
function,Define Function Macros,linux
fuser,Identify/kill the process that is accessing a file,linux
gawk,Find and Replace text within file(s),linux
getopts,Parse positional parameters,linux
getfacl,Get file access control lists,linux
grep,Search file(s) for lines that match a given pattern,linux
groupadd,Add a user security group,linux
groupdel,Delete a group,linux
groupmod,Modify a group,linux
groups,Print group names a user is in,linux
gzip,Compress or decompress named file(s),linux
hash,Remember the full pathname of a name argument,linux
head,Output the first part of file(s),linux
history,Command History,linux
hostname,Print or set system name,linux
htop,Interactive process viewer,linux
iconv,Convert the character set of a file,linux
id,Print user and group id's,linux
if,Conditionally perform a command,linux
ifconfig,Configure a network interface,linux
ifdown,Stop a network interface,linux
ifup,Start a network interface up,linux
import,Capture an X server screen and save the image to file,linux
install,Copy files and set attributes,linux
iostat,Report CPU and i/o statistics,linux
ip,"Routing, devices and tunnels",linux
jobs,List active jobs •,linux
join,Join lines on a common field,linux
kill,Kill a process by specifying its PID,linux
killall,Kill processes by name,linux
klist,List cached Kerberos tickets,linux
less,Display output one screen at a time,linux
let,Perform arithmetic on shell variables •,linux
link,Create a link to a file,linux
ln,Create a symbolic link to a file,linux
local,Create a function variable •,linux
locate,Find files,linux
logname,Print current login name,linux
logout,Exit a login shell •,linux
look,Display lines beginning with a given string,linux
lpc,Line printer control program,linux
lpr,Print files,linux
lprm,Remove jobs from the print queue,linux
lsattr,List file attributes on a Linux second extended file system,linux
lsblk,List block devices,linux
ls,List information about file(s),linux
lsof,List open files,linux
lspci,List all PCI devices,linux
man,Help manual,linux
mapfile,Read lines from standard input into an indexed array variable •,linux
mkdir,Create new folder(s),linux
mkfifo,Make FIFOs (named pipes),linux
mkfile,Make a file,linux
mknod,Make block or character special files,linux
mktemp,Make a temporary file,linux
more,Display output one screen at a time,linux
most,Browse or page through a text file,linux
mount,Mount a file system,linux
mtools,Manipulate MS-DOS files,linux
mtr,Network diagnostics (traceroute/ping),linux
mv,Move or rename files or directories,linux
mmv,Mass Move and rename (files),linux
nc,"Netcat, read and write data across networks",linux
netstat,Networking connections/stats,linux
nft,nftables for packet filtering and classification,linux
nice,Set the priority of a command or job,linux
nl,Number lines and write files,linux
nohup,Run a command immune to hangups,linux
notify-send,Send desktop notifications,linux
nslookup,Query Internet name servers interactively,linux
open,Open a file in its default application,linux
op,Operator access,linux
passwd,Modify a user password,linux
paste,Merge lines of files,linux
Perf,Performance analysis tools for Linux,linux
ping,Test a network connection,linux
pgrep,List processes by name,linux
pkill,Kill processes by name,linux
popd,Restore the previous value of the current directory,linux
pr,Prepare files for printing,linux
printenv,Print environment variables,linux
printf,Format and print data •,linux
ps,Process status,linux
pushd,Save and then change the current directory,linux
pv,Monitor the progress of data through a pipe,linux
pwd,Print Working Directory,linux
quota,Display disk usage and limits,linux
quotacheck,Scan a file system for disk usage,linux
ram,ram disk device,linux
rar,Archive files with compression,linux
rcp,Copy files between two machines,linux
read,Read a line from standard input •,linux
readarray,Read from stdin into an array variable •,linux
readonly,Mark variables/functions as readonly,linux
rename,Rename files,linux
return,Exit a shell function,linux
rev,Reverse lines of a file,linux
rm,Remove files,linux
rmdir,Remove folder(s),linux
rsync,Remote file copy (Synchronize file trees),linux
screen,"Multiplex terminal, run remote shells via ssh",linux
scp,Secure copy (remote file copy),linux
sdiff,Merge two files interactively,linux
sed,Stream Editor,linux
select,Accept user choices via keyboard input,linux
seq,Print numeric sequences,linux
set,Manipulate shell variables and functions,linux
setfacl,Set file access control lists.,linux
sha256sum,Compute and check SHA256 (256-bit) checksums,linux
shift,Shift positional parameters,linux
shopt,Shell Options,linux
shuf,Generate random permutations,linux
shutdown,Shutdown or restart linux,linux
sleep,Delay for a specified time,linux
slocate,Find files,linux
sort,Sort text files,linux
source,Run commands from a file '.'  •,linux
split,Split a file into fixed-size pieces,linux
ss,Socket Statistics,linux
ssh,Secure Shell client (remote login program),linux
stat,Display file or file system status,linux
strace,Trace system calls and signals,linux
su,Substitute user identity,linux
sudo,Execute a command as another user,linux
sum,Print a checksum for a file,linux
suspend,Suspend execution of this shell •,linux
sync,Synchronize data on disk with memory,linux
tabs,Set tabs on a terminal,linux
tail,Output the last part of a file,linux
tar,"Store, list or extract files in an archive",linux
tee,Redirect output to multiple files,linux
test,Evaluate a conditional expression,linux
time,Measure Program running time,linux
timeout,Run a command with a time limit,linux
times,User and system times,linux
tmux,Terminal multiplexer,linux
touch,Change file timestamps,linux
top,List processes running on the system,linux
tput,"Set terminal-dependent capabilities, color, position",linux
traceroute,Trace Route to Host,linux
trap,Execute a command when the shell receives a signal •,linux
tr,"Translate, squeeze, and/or delete characters",linux
true,"Do nothing, successfully",linux
tsort,Topological sort,linux
tty,Print filename of terminal on stdin,linux
type,Describe a command •,linux
ulimit,Limit user resources •,linux
umask,Users file creation mask,linux
unalias,Remove an alias •,linux
uname,Print system information,linux
unexpand,Convert spaces to tabs,linux
uniq,Uniquify files,linux
units,Convert units from one scale to another,linux
unix2dos,UNIX to Windows or MAC text file format converter,linux
unrar,Extract files from a rar archive,linux
unset,Remove variable or function names,linux
unshar,Unpack shell archive scripts,linux
until,Execute commands (until error),linux
useradd,Create new user account,linux
userdel,Delete a user account,linux
usermod,Modify user account,linux
users,List users currently logged in,linux
uuencode,Encode a binary file,linux
uudecode,Decode a file created by uuencode,linux
vi,Text Editor,linux
vmstat,Report virtual memory statistics,linux
w,Show who is logged on and what they are doing,linux
wait,Wait for a process to complete •,linux
watch,Execute/display a program periodically,linux
wc,"Print byte, word, and line counts",linux
whereis,"Search the user's $path, man pages and source files for a program",linux
which,Search the user's $path for a program file,linux
while,Execute commands,linux
who,Print all usernames currently logged in,linux
whoami,Print the current user id and name ('id -un'),linux
write,Send a message to another user,linux
xargs,"Execute utility, passing constructed argument list(s)",linux
xdg-open,Open a file or URL in the user's preferred application.,linux
xxd,Make a hexdump or do the reverse,linux
xz,Compress or decompress .xz and .lzma files,linux
yes,Print a string until interrupted,linux
zip,Package and compress (archive) files,linux
.,Run a command script in the current shell,linux
!!,Run the last command again,linux
###,Comment / Remark,linux
afconvert,Audio File Convert,macos
afinfo,Audio File Info,macos
afplay,Audio File Play,macos
airport,Manage Apple AirPort,macos
alias,Create an alias •,macos
apropos,Search the whatis database for strings,macos
asr,Apple Software Restore,macos
awk,Find and Replace text within file(s),macos
basename,Convert a full pathname to just a filename,macos
bash,Bourne-Again SHell,macos
bc,Arbitrary precision calculator language,macos
bg,Send to background •,macos
bind,Set or display readline key and function bindings •,macos
bless,Set volume bootability and startup disk options,macos
break,"Exit from a For, While, Until or Select loop •",macos
brew,Package manager,macos
builtin,Execute a shell builtin •,macos
bzip2,Compress or decompress files,macos
caffeinate,Prevent the system from sleeping,macos
cal,Display a calendar,macos
calendar,Reminder Service,macos
caller,Return the context of a subroutine call •,macos
cancel,Cancel print jobs,macos
case,Conditionally perform a command •,macos
cat,Concatenate and print (display) the content of files,macos
cd,Change Directory •,macos
chflags,Change a file or folder's flags,macos
chgrp,Change group ownership,macos
chmod,Change access permissions,macos
chown,Change file owner and group,macos
chroot,Run a command with a different root directory,macos
chsh,"Add or change user database information, change default shell",macos
cksum,Print CRC checksum and byte counts,macos
cmp,Compare two files,macos
codesign,Create and manipulate code signatures,macos
comm,Compare two sorted files line by line,macos
command,Run a command (not a function) •,macos
complete,Edit a command completion [word/pattern/list] •,macos
continue,Resume the next iteration of a loop •,macos
cp,Copy one or more files to another location,macos
cpio,Copy files to and from archives,macos
createhomedir,Create and populate home directories on the local computer,macos
cron,Daemon to execute scheduled commands,macos
crontab,Schedule a command to run at a later date/time,macos
csplit,Split a file into context-determined pieces,macos
csrutil,Configure System Integrity Protection (SIP),macos
cupsfilter,Convert a file to another format using cups filters,macos
curl,Transfer data  from or to a server,macos
cut,Divide a file into several parts,macos
date,Display or change the date & time,macos
dc,Desk Calculator,macos
dd,"Data Duplicator - convert and copy a file, clone disks",macos
declare,Declare variable & set attributes •,macos
defaults,"Set preferences, show hidden files",macos
df,Display free disk space,macos
diff,Display the differences between two files,macos
diff3,Show differences among three files,macos
dig,DNS lookup,macos
dirname,Convert a full pathname to just a path,macos
dirs,Display list of remembered directories •,macos
diskutil,"Disk utilities - Format, Verify, Repair",macos
disown,Unbind a job from the current login session •,macos
ditto,Copy files and folders,macos
dot_clean,Remove dot-underscore files,macos
drutil,Interact with CD/DVD burners,macos
dscacheutil,Query or flush the Directory Service/DNS cache,macos
dseditgroup,"Edit, create, manipulate, or delete groups",macos
dsenableroot,Enable root access,macos
dscl,Directory Service command line utility,macos
du,Estimate file space usage,macos
echo,Display text on screen •,macos
enable,Enable and disable builtin shell commands •,macos
env,List or Set environment variables,macos
eval,Evaluate several commands/arguments •,macos
exec,Execute a command •,macos
exit,Exit the shell •,macos
execsnoop,Snoop new process execution,macos
expand,Convert tabs to spaces,macos
expect,"Programmed dialogue with interactive programs
Also see AppleScript",macos
export,Set an environment variable •,macos
expr,Evaluate expressions,macos
false,"Do nothing, unsuccessfully",macos
fc,Fix command (history),macos
fdisk,Partition table manipulator for Darwin UFS/HFS/DOS,macos
fg,Send job to foreground •,macos
file,Determine file type,macos
find,Search for files that meet a desired criteria,macos
fmt,Reformat paragraph text,macos
fold,Wrap text to fit a specified width,macos
for,Loop command •,macos
fsck,Filesystem consistency check and repair,macos
fs_usage,Filesystem usage (process/pathname),macos
ftp,Internet file transfer program,macos
function,Define Function Macros,macos
fuser,List processes that have one or more files open,macos
GetFileInfo,Get attributes of HFS+ files,macos
getopt,Parse positional parameters,macos
getopts,Parse positional parameters •,macos
goto,Jump to label and continue execution,macos
grep,Search file(s) for lines that match a given pattern,macos
groups,Print group names a user is in,macos
gzip,Compress or decompress files,macos
halt,Stop and restart the operating system,macos
hash,Refresh the cached/remembered location of commands •,macos
head,Display the first lines of a file,macos
hdiutil,Manipulate iso disk images,macos
history,Command History •,macos
hostname,Print or set system name,macos
iconv,Convert the character set of a file,macos
id,Print user and group names/id's,macos
if,Conditionally perform a command •,macos
ifconfig,Configure network interface parameters,macos
iostat,Report CPU and i/o statistics,macos
ipconfig,View and control IP configuration state,macos
info,Help info,macos
install,Copy files and set attributes,macos
installer,System software and .pkg package installer tool,macos
iosnoop,Snoop I/O events as they occur,macos
jobs,List active jobs •,macos
join,Join lines on a common field,macos
kextfind,List kernel extensions,macos
kextstat,Display status of loaded kernel extensions (kexts),macos
kextunload,Terminate driver instances and unload kernel extensions.,macos
kickstart,Configure Apple Remote Desktop,macos
kill,Kill a process by specifying its PID,macos
killall,Kill processes by name,macos
klist,List cached Kerberos tickets,macos
l,List files in long format (ls -l),macos
last,Indicate last logins of users and ttys,macos
launchctl,Load or unload daemons/agents,macos
ll,"List files in long format, showing invisible files (ls -la)",macos
leave,Remind you when you have to leave,macos
less,Display output one screen at a time,macos
let,Evaluate expression •,macos
lipo,Convert a universal binary,macos
ln,"Make links between files (hard links, symbolic links)",macos
local,Set a local (function) variable •,macos
locate,Find files,macos
logname,Print current login name,macos
login,log into the computer,macos
logout,Exit a login shell (bye) •,macos
look,Display lines beginning with a given string,macos
lp,Print files,macos
lpr,Print files,macos
lprm,Remove jobs from the print queue,macos
lpstat,Printer status information,macos
ls,List information about file(s),macos
lsregister,Reset the Launch Services database,macos
lsbom,List a bill of materials file,macos
lsof,List open files,macos
md5,Calculate a checksum for a file,macos
mdfind,Spotlight search,macos
mdimport,Import file hierarchies into the Spotlight datastore.,macos
mdls,List the metadata attributes for a specified file,macos
mdutil,Manage Spotlight metadata store,macos
mkdir,Create new folder(s),macos
mkfifo,Make FIFOs (named pipes),macos
mkfile,Make a file,macos
mktemp,Make a temporary file,macos
more,Display output one screen at a time,macos
mount,Mount a file system,macos
mv,Move or rename files or directories,macos
nano,Simple text editor,macos
nc/netcat,Read and write data across networks,macos
net,Manage network resources,macos
networkQuality,Network quality testing tool,macos
networksetup,Network and System Preferences,macos
nice,Set the priority of a command,macos
nl,Number lines and write files,macos
nohup,Run a command immune to hangups,macos
ntfs.util,NTFS file system utility,macos
nvram,Manipulate  firmware variables,macos
onintr,Control the action of a shell interrupt,macos
open,Open a file/folder/URL/Application,macos
opensnoop,Snoop file opens as they occur,macos
openssl,OpenSSL command line,macos
osacompile,Compile Applescript,macos
osascript,Execute AppleScript,macos
passwd,Modify a user password,macos
paste,Merge lines of files,macos
pbcopy,Copy data to the clipboard,macos
pbpaste,Paste data from the Clipboard,macos
pbs,General helper tool,macos
pgrep,List processes by a full or partial name,macos
ping,Test a network connection,macos
pkill,Kill processes by a full or partial name,macos
pkgbuild,Build a macOS Installer component package,macos
pkgutil,Query and manipulate installed packages,macos
pmset,Power Management settings,macos
popd,Restore the previous value of the current directory •,macos
pr,Convert text files for printing,macos
printenv,List environment variables,macos
printf,Format and print data •,macos
profiles,Profiles Tool,macos
ps,Process status,macos
pushd,Save and then change the current directory,macos
pwd,Print Working Directory •,macos
qlmanage,Quick Look Server debug and management tool,macos
quota,Display disk usage and limits,macos
rcp,Copy files between machines,macos
read,Read one line from standard input •,macos
readonly,Mark a variable or function as read-only •,macos
ReportCrash,Enable/Disable crash reporting,macos
return,Exit a function •,macos
rev,Reverse lines of a file,macos
rm,Remove files,macos
rmdir,Remove folder(s),macos
rsync,Remote file copy - Sync file tree,macos
say,Convert text to audible speech,macos
